"expo","outcome","mean","low95ci","up95ci"
"A41","M75",-0.01554,-0.01765,-0.01343
"A41","M79",0.01521,0.00891,0.0215
"A41","M81",0.00495,0.00153,0.00836
"A41","N13",0.0304,0.02461,0.0362
"A41","N17",0.26565,0.25176,0.27953
"A41","N18",0.03711,0.02985,0.04436
"A41","N20",0.00415,0.00045,0.00785
"A41","N28",0.0239,0.01857,0.02923
"A41","N32",0.00154,-0.00348,0.00655
"A41","N35",-0.0018,-0.00417,0.00058
"A41","N39",0.19745,0.18448,0.21043
"A41","N40",-0.00622,-0.01426,0.00181
"A41","N41",0.00151,-0.00192,0.00494
"A41","N42",-0.00383,-0.00532,-0.00234
"A41","N43",-0.00019,-0.00244,0.00206
"A41","N47",6e-05,-0.00212,0.00225
"A41","N48",0.00033,-0.0028,0.00346
"A41","N50",0.00234,-0.00117,0.00584
"A41","U07",0.02973,0.02442,0.03503
"B37","A04",0.0188,0.01178,0.02582
"B37","A09",0.06476,0.04915,0.08037
"B37","A41",0.1109,0.09288,0.12892
"B37","B95",0.03974,0.02901,0.05048
"B37","B96",0.06645,0.05193,0.08097
"B37","C18",0.00016,-0.00533,0.00566
"B37","C34",0.00296,-0.00208,0.00801
"B37","C44",-0.02561,-0.03249,-0.01873
"B37","C61",-0.0283,-0.03545,-0.02116
"B37","C67",-0.00523,-0.00838,-0.00208
"B37","C77",0.0366,0.0254,0.04779
"B37","C78",0.05192,0.03882,0.06502
"B37","C79",0.03957,0.02686,0.05227
"B37","D12",-0.02192,-0.0307,-0.01313
"B37","D17",-0.00675,-0.01129,-0.0022
"B37","D22",-0.00391,-0.00728,-0.00054
"B37","D23",-0.00539,-0.0057,-0.00509
"B37","D50",0.03458,0.02254,0.04662
"B37","D64",0.05979,0.04397,0.07561
"B37","D69",0.02939,0.01994,0.03884
"B37","D70",0.05682,0.04423,0.06941
"B37","E03",-0.00322,-0.00943,0.00299
"B37","E10",0.00184,-0.00195,0.00562
"B37","E11",-0.01663,-0.02951,-0.00376
"B37","E14",0.00076,-0.00459,0.00612
"B37","E66",-0.01509,-0.02708,-0.00311
"B37","E78",-0.06008,-0.07585,-0.0443
"B37","E83",0.06003,0.04692,0.07314
"B37","E86",0.07372,0.06001,0.08743
"B37","E87",0.14008,0.11972,0.16045
"B37","F05",0.04367,0.03296,0.05439
"B37","F10",0.00171,-0.00665,0.01007
"B37","F17",-0.00818,-0.01887,0.0025
"B37","F32",0.00566,-0.00391,0.01524
"B37","F41",0.01175,0.00207,0.02142
"B37","G40",0.00264,-0.00213,0.0074
"B37","G45",-0.00525,-0.00796,-0.00254
"B37","G47",-0.00434,-0.01435,0.00567
"B37","G55",0.00396,-0.00355,0.01147
"B37","G56",-0.00995,-0.01473,-0.00517
"B37","G81",0.00922,0.00291,0.01553
"B37","H02",-0.00263,-0.00813,0.00287
"B37","H25",-0.02338,-0.03037,-0.01639
"B37","H26",-0.03071,-0.03852,-0.0229
"B37","H33",-0.00388,-0.00761,-0.00016
"B37","H35",-0.00949,-0.01429,-0.00469
"B37","H36",0.00041,-0.00409,0.00491
"B37","H40",-0.00966,-0.0156,-0.00373
"B37","H52",-0.00644,-0.01057,-0.00232
"B37","H53",0.00073,-0.00425,0.00572
"B37","H91",-0.00071,-0.00667,0.00526
"B37","I08",0.01514,0.00621,0.02408
"B37","I10",-0.0773,-0.10775,-0.04684
"B37","I20",-0.02897,-0.03631,-0.02164
"B37","I21",-0.01249,-0.01938,-0.0056
"B37","I24",-0.003,-0.00687,0.00087
"B37","I25",-0.03768,-0.05045,-0.02491
"B37","I26",0.02098,0.01144,0.03052
"B37","I34",-0.00154,-0.00595,0.00286
"B37","I35",-0.00228,-0.0075,0.00294
"B37","I44",-0.00607,-0.01241,0.00028
"B37","I45",0.00805,2e-04,0.0159
"B37","I47",0.00162,-0.00456,0.0078
"B37","I48",0.00371,-0.00898,0.01641
"B37","I49",-0.00068,-0.00598,0.00462
"B37","I50",0.01777,0.00706,0.02848
"B37","I51",0.01307,0.00171,0.02443
"B37","I63",0.00136,-0.00554,0.00827
"B37","I67",0.00913,0.00187,0.0164
"B37","I70",0.00226,-0.00164,0.00616
"B37","I71",-0.00115,-0.00715,0.00485
"B37","I73",0.00431,-0.00222,0.01085
"B37","I80",0.01504,0.00674,0.02335
"B37","I83",-0.00856,-0.01157,-0.00556
"B37","I84",-0.02404,-0.03171,-0.01637
"B37","I95",0.05431,0.04066,0.06795
"B37","J18",0.13011,0.1112,0.14902
"B37","J22",0.05742,0.04299,0.07184
"B37","J33",-0.00552,-0.00649,-0.00455
"B37","J34",-0.00394,-0.00702,-0.00087
"B37","J43",0.00852,0.00349,0.01355
"B37","J44",0.00947,0.00107,0.01787
"B37","J45",-0.00532,-0.01767,0.00702
"B37","J47",0.01358,0.00747,0.0197
"B37","J90",0.06251,0.04708,0.07795
"B37","J96",0.04409,0.03326,0.05493
"B37","J98",0.04298,0.0305,0.05547
"B37","K02",-0.00199,-0.00542,0.00143
"B37","K13",0.01488,0.00739,0.02238
"B37","K20",0.08511,0.06926,0.10096
"B37","K21",0.04873,0.03043,0.06702
"B37","K22",0.04283,0.02934,0.05632
"B37","K25",0.01779,0.00901,0.02657
"B37","K26",0.01217,0.00549,0.01885
"B37","K29",0.10638,0.08383,0.12893
"B37","K30",-0.00028,-0.00623,0.00567
"B37","K31",0.04202,0.02987,0.05417
"B37","K40",-0.03727,-0.04546,-0.02908
"B37","K42",-0.00838,-0.01135,-0.00541
"B37","K43",0.01061,0.00312,0.01809
"B37","K44",0.03766,0.0222,0.05311
"B37","K51",0.00052,-0.00315,0.00419
"B37","K52",0.01433,0.00388,0.02477
"B37","K56",0.0187,0.01038,0.02702
"B37","K57",-0.03442,-0.04749,-0.02134
"B37","K58",-0.00053,-0.0047,0.00364
"B37","K59",0.09863,0.08067,0.11659
"B37","K60",-0.00055,-0.00464,0.00353
"B37","K62",-0.02502,-0.03422,-0.01582
"B37","K63",-0.02109,-0.03094,-0.01124
"B37","K64",-0.00031,-0.01071,0.01009
"B37","K66",0.0107,0.00225,0.01914
"B37","K76",0.02614,0.0149,0.03737
"B37","K80",0.00248,-0.00579,0.01075
