"expo","outcome","mean","low95ci","up95ci"
"B37","M85",-5e-04,-0.00493,0.00392
"B37","N13",0.00742,0.00258,0.01226
"B37","N17",0.09251,0.07778,0.10723
"B37","N18",0.00595,-0.00143,0.01333
"B37","N20",0.00128,-0.00302,0.00557
"B37","N28",0.01021,0.00488,0.01554
"B37","N30",-0.00028,-0.00426,0.0037
"B37","N32",-0.00054,-0.00497,0.00389
"B37","N39",0.08221,0.06629,0.09812
"B37","N73",9e-05,-0.00432,0.0045
"B37","N80",-0.00256,-0.00617,0.00105
"B37","N81",-0.0236,-0.0283,-0.01889
"B37","N83",-0.00248,-0.00787,0.00291
"B37","N84",-0.01779,-0.02161,-0.01398
"B37","N85",-0.00691,-0.01071,-0.0031
"B37","N88",0.00304,-0.00259,0.00868
"B37","N90",-0.00382,-0.00599,-0.00166
"B37","N92",-0.01088,-0.01415,-0.00762
"B37","N93",0.00454,-0.00012,0.00921
"B37","N94",-7e-04,-0.00301,0.00161
"B37","N95",-0.00943,-0.01603,-0.00282
"B37","O68",0.00097,-0.00106,0.00301
"B37","O70",-0.00041,-0.00049,-0.00034
"B95","A09",0.05572,0.04153,0.0699
"B95","A41",0.11265,0.09617,0.12913
"B95","B37",0.05135,0.03896,0.06374
"B95","B96",0.19585,0.1748,0.2169
"B95","C18",-0.00046,-0.00483,0.0039
"B95","C34",-0.00358,-0.00624,-0.00091
"B95","C44",-0.0126,-0.01972,-0.00549
"B95","C50",-0.01319,-0.02274,-0.00363
"B95","C77",0.01776,0.00748,0.02804
"B95","C78",0.03709,0.0249,0.04928
"B95","C79",0.03517,0.02369,0.04664
"B95","D05",-0.00293,-0.00669,0.00082
"B95","D12",-0.01798,-0.02456,-0.01141
"B95","D17",-0.00246,-0.00591,0.001
"B95","D22",-0.00444,-0.007,-0.00187
"B95","D23",-0.00229,-0.00471,0.00014
"B95","D25",-0.00304,-0.01049,0.00442
"B95","D50",0.01527,0.00602,0.02452
"B95","D64",0.06202,0.04714,0.07689
"B95","D70",0.03452,0.02373,0.04531
"B95","E03",-0.02961,-0.03846,-0.02076
"B95","E04",-0.00079,-0.00365,0.00206
"B95","E05",-0.00014,-0.00421,0.00394
"B95","E11",0.00245,-0.0075,0.0124
"B95","E55",0.01075,0.00375,0.01775
"B95","E66",-0.00363,-0.01413,0.00686
"B95","E78",-0.03003,-0.04184,-0.01823
"B95","E83",0.04728,0.0355,0.05905
"B95","E86",0.05924,0.0464,0.07209
"B95","E87",0.1186,0.10133,0.13586
"B95","F05",0.03891,0.03011,0.0477
"B95","F10",0,-0.00345,0.00345
"B95","F17",0.00097,-0.00874,0.01068
"B95","F32",0.01544,0.00191,0.02897
"B95","F41",0.01249,3e-04,0.02468
"B95","G40",0.00563,0.00033,0.01094
"B95","G43",-0.00755,-0.01134,-0.00376
"B95","G47",-0.00187,-0.00536,0.00162
"B95","G55",-0.00558,-0.00927,-0.0019
"B95","G56",-0.00738,-0.01222,-0.00254
"B95","H02",-0.00315,-0.00764,0.00134
"B95","H04",-0.00441,-0.00686,-0.00195
"B95","H25",-0.01628,-0.02514,-0.00741
"B95","H26",-0.01945,-0.02999,-0.00892
"B95","H35",-0.00146,-0.00749,0.00458
"B95","H40",-0.00978,-0.01452,-0.00504
"B95","H52",-0.00235,-0.00805,0.00335
"B95","H53",0.00374,-0.00248,0.00997
"B95","H91",0.00943,0.00232,0.01654
"B95","I08",0.01391,0.00682,0.02101
"B95","I10",-0.01414,-0.03607,0.00779
"B95","I20",-0.01278,-0.01764,-0.00793
"B95","I21",-4e-05,-0.00426,0.00418
"B95","I25",-0.00332,-0.01171,0.00507
"B95","I26",0.01704,0.00944,0.02465
"B95","I34",0.01596,0.00815,0.02378
"B95","I35",0.00661,0.00146,0.01177
"B95","I44",0.0052,-0.00055,0.01095
"B95","I47",-0.00101,-0.00448,0.00245
"B95","I48",0.03198,0.02029,0.04367
"B95","I49",0.00155,-0.00352,0.00663
"B95","I50",0.02881,0.01998,0.03765
"B95","I51",0.01626,0.00874,0.02378
"B95","I63",0.0079,0.00184,0.01395
"B95","I67",0.02016,0.0121,0.02822
"B95","I73",0.01496,0.0068,0.02312
"B95","I80",0.0117,0.00459,0.01882
"B95","I83",-0.00134,-0.0057,0.00303
"B95","I84",-0.01936,-0.02491,-0.01382
"B95","I95",0.06271,0.04939,0.07604
"B95","J18",0.10968,0.09268,0.12668
"B95","J22",0.03581,0.02512,0.0465
"B95","J34",0.00079,-0.00312,0.00469
"B95","J44",0.00199,-0.00554,0.00952
